data,block,trial,oneTrigger,trigger
10_2011_11_29_11_08_,15,25,1,right
10_2011_11_29_11_08_,15,26,1,right
10_2011_11_29_11_08_,15,27,1,left
10_2011_11_29_11_08_,15,28,1,left
10_2011_11_29_11_08_,15,29,1,right
10_2011_11_29_11_08_,15,30,0,left/right
10_2011_11_29_11_08_,15,31,1,left
10_2011_11_29_11_08_,15,32,1,left
10_2011_11_29_11_08_,16,1,1,left
10_2011_11_29_11_08_,16,2,0,left/right
10_2011_11_29_11_08_,16,3,1,right
10_2011_11_29_11_08_,16,4,1,left
10_2011_11_29_11_08_,16,5,1,right
10_2011_11_29_11_08_,16,6,1,right
10_2011_11_29_11_08_,16,7,1,right
10_2011_11_29_11_08_,16,8,1,left
10_2011_11_29_11_08_,16,9,1,left
10_2011_11_29_11_08_,16,10,1,left
10_2011_11_29_11_08_,16,11,1,right
10_2011_11_29_11_08_,16,12,0,left/right
10_2011_11_29_11_08_,16,13,1,left
10_2011_11_29_11_08_,16,14,1,right
10_2011_11_29_11_08_,16,15,1,left
10_2011_11_29_11_08_,16,16,1,right
10_2011_11_29_11_08_,16,17,1,left
10_2011_11_29_11_08_,16,18,0,left/right
10_2011_11_29_11_08_,16,19,1,right
10_2011_11_29_11_08_,16,20,1,right
10_2011_11_29_11_08_,16,21,1,right
10_2011_11_29_11_08_,16,22,1,left
10_2011_11_29_11_08_,16,23,1,right
10_2011_11_29_11_08_,16,24,1,right
10_2011_11_29_11_08_,16,25,0,left/right
10_2011_11_29_11_08_,16,26,1,left
10_2011_11_29_11_08_,16,27,1,right
10_2011_11_29_11_08_,16,28,1,right
10_2011_11_29_11_08_,16,29,1,right
10_2011_11_29_11_08_,16,30,1,right
10_2011_11_29_11_08_,16,31,1,right
10_2011_11_29_11_08_,16,32,1,left
10_2011_11_29_11_08_,17,1,1,left
10_2011_11_29_11_08_,17,2,1,right
10_2011_11_29_11_08_,17,3,0,left/right
10_2011_11_29_11_08_,17,4,1,left
10_2011_11_29_11_08_,17,5,1,left
10_2011_11_29_11_08_,17,6,1,left
10_2011_11_29_11_08_,17,7,1,right
10_2011_11_29_11_08_,17,8,1,right
10_2011_11_29_11_08_,17,9,1,left
10_2011_11_29_11_08_,17,10,1,right
10_2011_11_29_11_08_,17,11,1,right
10_2011_11_29_11_08_,17,12,1,left
10_2011_11_29_11_08_,17,13,1,right
10_2011_11_29_11_08_,17,14,1,right
10_2011_11_29_11_08_,17,15,1,right
10_2011_11_29_11_08_,17,16,1,left
10_2011_11_29_11_08_,17,17,1,right
10_2011_11_29_11_08_,17,18,1,left
10_2011_11_29_11_08_,17,19,1,left
10_2011_11_29_11_08_,17,20,1,right
10_2011_11_29_11_08_,17,21,1,left
10_2011_11_29_11_08_,17,22,1,left
10_2011_11_29_11_08_,17,23,1,right
10_2011_11_29_11_08_,17,24,1,right
10_2011_11_29_11_08_,17,25,1,right
10_2011_11_29_11_08_,17,26,1,left
10_2011_11_29_11_08_,17,27,1,right
10_2011_11_29_11_08_,17,28,1,right
10_2011_11_29_11_08_,17,29,1,left
10_2011_11_29_11_08_,17,30,1,left
10_2011_11_29_11_08_,17,31,1,right
10_2011_11_29_11_08_,17,32,1,right
10_2011_11_29_11_08_,18,1,1,right
10_2011_11_29_11_08_,18,2,1,right
10_2011_11_29_11_08_,18,3,1,left
10_2011_11_29_11_08_,18,4,1,right
10_2011_11_29_11_08_,18,5,1,right
10_2011_11_29_11_08_,18,6,1,right
10_2011_11_29_11_08_,18,7,1,left
10_2011_11_29_11_08_,18,8,1,left
10_2011_11_29_11_08_,18,9,1,right
10_2011_11_29_11_08_,18,10,1,left
10_2011_11_29_11_08_,18,11,1,right
10_2011_11_29_11_08_,18,12,1,right
10_2011_11_29_11_08_,18,13,1,left
10_2011_11_29_11_08_,18,14,1,right
10_2011_11_29_11_08_,18,15,1,left
10_2011_11_29_11_08_,18,16,1,right
10_2011_11_29_11_08_,18,17,1,left
10_2011_11_29_11_08_,18,18,1,left
10_2011_11_29_11_08_,18,19,1,right
10_2011_11_29_11_08_,18,20,1,right
10_2011_11_29_11_08_,18,21,1,right
10_2011_11_29_11_08_,18,22,1,right
10_2011_11_29_11_08_,18,23,1,right
10_2011_11_29_11_08_,18,24,1,left
10_2011_11_29_11_08_,18,25,1,right
10_2011_11_29_11_08_,18,26,1,left
10_2011_11_29_11_08_,18,27,1,left
10_2011_11_29_11_08_,18,28,1,left
10_2011_11_29_11_08_,18,29,1,right
10_2011_11_29_11_08_,18,30,0,left/right
10_2011_11_29_11_08_,18,31,1,left
10_2011_11_29_11_08_,18,32,1,right
10_2011_11_29_11_08_,19,1,1,right
10_2011_11_29_11_08_,19,2,1,right
10_2011_11_29_11_08_,19,3,1,right
10_2011_11_29_11_08_,19,4,1,left
10_2011_11_29_11_08_,19,5,1,left
10_2011_11_29_11_08_,19,6,1,right
10_2011_11_29_11_08_,19,7,1,left
10_2011_11_29_11_08_,19,8,1,right
10_2011_11_29_11_08_,19,9,1,left
10_2011_11_29_11_08_,19,10,1,right
10_2011_11_29_11_08_,19,11,1,left
10_2011_11_29_11_08_,19,12,1,right
10_2011_11_29_11_08_,19,13,1,right
10_2011_11_29_11_08_,19,14,1,right
10_2011_11_29_11_08_,19,15,1,left
10_2011_11_29_11_08_,19,16,1,right
